Name,Latitude,Longitude,Floors,Floors Source,Stores,Dynamic Stores,Store Names,Stores Source,Opening year,Area,Area Source,Owner,Shape,Wikipedia Link
Bukit Timah Plaza,1.3386,103.7786,4,https://mallsg.sg/listing/bukit-timah-plaza/,,,,,,,,,,
Bukit Timah Shopping Centre,1.3433,103.7759,7,https://officefinder.com.sg/building/bukit-timah-shopping-centre/,,,,,1981,,,,,
Canberra Plaza,1.4433,103.8305,4,https://canberraplaza.sg/,45,45,Daiso; NTUC FairPrice ; Home Stop; Paul’s Barbershop; Wan Xiang TCM; Swee Hang 1989; Sedap Goreng; 365 Fruit Juice; Gerill Bab; #B1 – 01/02; #B1 – 03/04; #B1 – 06/07; #B1 – 08; #B1 – 09/10; #B1 – 11; #B1 – K1; #B1 – K2; #B1 – K4/K5/K7; McDonald’s; A&W; BreadTalk; Starbucks; Niigata Bento/Pho Street; KFC; Yi Fang Taiwan Fruit Tea; Tampines Optical; Ngee Soon Jewellery; Lacquar; Mr. Been/Dou Qoo; Guardian; Grove/Dough Culture; 7-Eleven; Cantine; Nam Kee Pau/Hong Kong Egglet; Ya Kun Kaya Toast; #01 – 01/02/03/28; #01 – 04/26/27; #01 – 05; #01 – 06; #01 – 07; #01 – 08/09; #01 – 10/11/12; #01 – 13; #01 – 14; #01 – 15; #01 – 16; #01 – 17/18; #01 – 18A/19; #01 – 20; #01 – 21/22/23; #01 – 24/24A; #01 – 25; Chin Lee Restaurant; Xtreme Hair Salon; D’Pixies Nails; Xpress Massage; Unusual Express; In-Touch @ Canberra; PREMIUM; Viva Medical; Joy Dental Centre; Celmonze; Gadget Mix; SKP; #02 – 01/02; #02 – 06/07; #02 – 08; #02 – 09; #02 – 10; #02 – 11; #02 – 12; #02 – 14; #02 – 15; #02 – 16; #02 – 17; #02 – 18; The Ballet School; Shichida; Gymmboxx; The Eton Academy; MyDoc; Beijing Language School; CMA Artimetics; #03 – 01; #03 – 02/03; #03 – 04/05/06/07; #03 – 09; #03 – 10/11; #03 – 12; #03 – 13,https://canberraplaza.sg/,2020,88000,https://fct.frasersproperty.com/misc/ar2019.pdf,HDB,,https://en.wikipedia.org//wiki/Canberra_Plaza
Capitol Singapore,1.2930,103.8512,4,https://capitolsingapore.com/directory/,67,0.3333333333,,https://singmalls.app/en/malls/capitol-singapore/directory,2015,133822,https://www.perennialholdings.com/properties/singapore/sg-capitol-singapore.html,,,https://en.wikipedia.org//wiki/Capitol_Piazza
Cathay Cineleisure Orchard,1.3015,103.8364,8,https://cathay.com.sg/retail/cineleisure/,26,36,67 Collection; Fashion; 02-22; 7-Eleven; many; 01-08; 红糖 Hong Tang; Food & Restaurants; B1-02; Alcoholiday; Fashion; 02-10; AUBE Beauty Salon; Hair & Beauty; 03-06; Beadstreet; many; 02-08 to 02-09; Benjamin Barker; Fashion; 01-21 to 01-23; Body Fit Training; Sports & Leisure; 03-04; BOUNCE Inc; Sports & Leisure; 09-01; Cathay Cineplexes; Amusement / Entertainment; 04 to 06; Charlie Brown Cafe; many; 04-01; Collin's; Food & Restaurants; B1-08 to B1-09; D'Cut Hair Studio; Hair & Beauty; 03-02; Dr Beauty; Hair & Beauty; 02-15; En Motion Dance School; many; 03-05 to 03-05A; Exit; Fashion; 02-04; Famous Amos; many; 01-08A; Fatburger; Food & Restaurants; 01-07; Fun Claw; Amusement / Entertainment; 03-25A; GudSht; Food & Restaurants; 01-04; Hale Yoga; Sports & Leisure; 03-03 to 03-03A; KFC; Food & Restaurants; 01-05; Koufu; Food & Restaurants; B1-01; Leftfoot; Fashion; 02-07A; Leftfoot Outlet; Fashion; 02-07A; LiHO TEA 里喝; Food & Restaurants; B1-07; Maki-San; Food & Restaurants; B1-06; Mos Burger; Food & Restaurants; 01-06; PastaMania; Food & Restaurants; 02-23 to 02-23A; Ramen Keisuke Kani King; Food & Restaurants; 01-03; Revolution; Sports & Leisure; 03-08; Starbucks Coffee; Food & Restaurants; 01-K1; Tenkaichi Japanese BBQ & Shabu Shabu; Food & Restaurants; 02-11; The Assembly Ground; Food & Restaurants; 01-21; Very; many; 02-14; ZHAPALANG; many; 02-21,https://singmalls.app/en/malls/cine-leisure/directory,1997,169897,https://www.google.com/search?q=cathay+cineleisure+orchard+total+retail+space&sxsrf=ALeKk01NZ9RtbXmylrB7MAYHhd-mFOPKsw%3A1618594050074&ei=Asl5YMj8A8Go9QOWlqz4BA&oq=cathay+cineleisure+orchard+total+retail+space&gs_lcp=Cgdnd3Mtd2l6EAM6BwgAEEcQsAM6BAgjECdQuCVY6Slg3itoAXACeACAAXuIAcwDkgEDNi4xmAEAoAEBqgEHZ3dzLXdpesgBCMABAQ&sclient=gws-wiz&ved=0ahUKEwjIhY_bpIPwAhVBVH0KHRYLC08Q4dUDCA4&uact=5,,,https://en.wikipedia.org//wiki/Cathay_Cineleisure_Orchard
Causeway Point,1.4361,103.7858,6,https://www.causewaypoint.com.sg/store.php?CategoryID=594,218,0.3333333333,,https://singmalls.app/en/malls/causeway-point/directory,1998,416301,https://www.reitas.sg/wp-content/uploads/2020/01/fct_factsheet_27_aug_2019.pdf,Frasers,,https://en.wikipedia.org//wiki/Causeway_Point
Century Square,1.3524,103.9438,6,https://www.centurysquare.com.sg/store.php?CategoryID=594,131,0.3333333333,,https://singmalls.app/en/malls/century-square/directory,1995,205000,https://fct.frasersproperty.com/newsroom/20140512_175650_J69U_EQ6ASZLFT5NIS5LM.3.pdf,Frasers,,https://en.wikipedia.org//wiki/Century_Square
Changi Airport,1.3458,103.9829,,,274,,,"https://www.changiairport.com/content/cag/en/shop/shopping-directory.html#/filter?tab=t3
https://mothership.sg/2017/05/changi-airport-terminal-4-is-spores-newest-shopping-centre/",1981,28000,https://fct.frasersproperty.com/newsroom/20140512_175650_J69U_EQ6ASZLFT5NIS5LM.3.pdf,,,https://en.wikipedia.org//wiki/Changi_Airport
Changi Airport T1,1.3618,103.9881,2,https://www.changiairport.com/en/dine/dining-directory.html#/filter?tab=t1,69,,,https://www.changiairport.com/en/dine/dining-directory.html#/filter?tab=t1,,,,,,
Changi Airport T3,1.3563,103.9865,5,https://www.changiairport.com/en/shop/shopping-directory.html#/filter?tab=t3,115,,,https://www.changiairport.com/en/shop/shopping-directory.html#/filter?tab=t3,2008,215278,https://www.cpgcorp.com.sg/cpgc/Content/Publications/20080300_SgEngineer-Changi_Airport_Terminal_3.pdf,,,
Changi Airport T4,1.3384,103.9815,2,https://www.caas.gov.sg/docs/default-source/publication/222s-terminal-4-to-set-new-benchmarks-_-bridging-skies).pdf,81,,,https://mothership.sg/2017/05/changi-airport-terminal-4-is-spores-newest-shopping-centre/,2017,161458,https://www.airport-technology.com/projects/terminal-4-changi-international-airport-singapore/,,,
Changi City Point,1.3343,103.9627,3,https://www.frasersproperty.com/reits/fct/our-portfolio/changi-city-point,129,0.3333333333,,https://singmalls.app/en/malls/changi-city-point/directory,2011,205007,https://www.frasersproperty.com/reits/fct/our-portfolio/changi-city-point,Frasers,,https://en.wikipedia.org//wiki/Changi_City_Point
Chinatown Point,1.2852,103.8449,6,https://chinatownpoint.com.sg/stores/,156,0.3333333333,,https://singmalls.app/en/malls/chinatown-point/directory,1990,207726,https://www.perennialholdings.com/properties/singapore/sg-chinatown-point.html,,,
City Gate Mall,1.3023,103.8624,3,https://www.citygate.com.sg/directory/,69,,,https://www.citygate.com.sg/directory/,2018,76289,https://www.mapletreelogisticstrust.com/services/view_file.aspx?f=%7BA1E37200-3631-40B5-8F79-DD815A0BCD98%7D,,,
City Plaza,1.3148,103.8934,,,,,,,,,,,,
City Square Mall,1.3113,103.8566,11,https://www.citysquaremall.com.sg/shops/all-shops/,186,196,6IXTY8IGHT; ACME Taekwondo; adidas Outlet; AIRZONE; Allure Beauty Saloon; Artistry Hair Studio; ASTONS Specialities; AU; AXS Stations/Citi/DBS ATMs (Behind Travelators); Bata; Beauty Fun Fair; Beauty Language; Beyond Pancakes; Blanco Court Beef Noodles; Blessed Kidz Learning Hub Pte. Ltd.; Boost Juice Bars; BreadTalk; Bridging the Gap (Early Intervention For Life); Capitol Optical; CARs International; Cat &amp; the Fiddle; Catchapon; Cedele Bakery Café; Challenger Mini; CHARLES &amp; KEITH; Chateraise; Chic-A-Boo Fried Chicken; CMA Mental Arithmetic Centre; CocoCane; Concept Nailz Spa; Cotton On; Cotton On Kids; Crave; Crème Hairdressing; Crocodile; D &amp; H Fashion; D&amp;C Shoes; Daiso; Decathlon; Dian Xiao Er; Din Tai Fung; Don Don Donki; DOT; Dunkin’ Donuts; Dunlopillo; EAT.; Enchanted Home; Eye Level; FarEastFlora.com; First Words; Fleur Scalpcare; Food Republic; Four Star By ISZ Bedding; Fragrance Foodstuff; FreeTime; Fuji Film by Mach Photo; Gado &amp; Grill; Genki Sushi; Giordano; Global Art; GNC; Gold Hub Jewellery; Golden Village; Greatminds School; Guardian Health &amp; Beauty / Pharmacy; Gyu-Kaku Japanese BBQ; Haidilao Hot Pot; Heguru Singapore; HEY! I AM YOGOST 我是酸奶君; Hockhua Tonic; Holland &amp; Barrett; Home&#039;s Harmony; Hong Leong Finance; Hua Cheng Education Centre; Hush Puppies Apparel; I CAN READ; iORA; iStudio; Japan Home; KFC; Kidodo Indoor Playground; Kids &quot;n&quot; We; Kim Guan Goldsmith &amp; Jeweller; KIMOJ; KOI Café Express; Kopi &amp; Tarts by Mayson; Krafers‘ Paradise; Kumon Learning Centre; Lai Lai Taiwan Casual Dining; Le D’or Beauté; LEAP SchoolHouse; Levi&#039;s; LiHO TEA @ Cafe; Linen Gallery; Llaollao; Malaysia Chiak; McDonald’s; MindChamps PreSchool; Moley Apparels; MOS Burger; Mr Fruit Juice; Mugiya; My Greatest Child; Nagara Thai Gold; Nail Palace; Nam Kee Pau; Niva Time Watch; NTUC FairPrice; OCBC Bank; Old Chang Kee; Ordinary Burgers; OWNDAYS; PastaMania; Perfect Pitch; Pet Lovers Centre; Picket&amp;Rail; Pizza Hut; POPStation (Facing City Green Park); Potato Corner; PrimaDéli; Q &amp; M Dental Centre / Q &amp; M Medical &amp; Aesthetic (Farrer Park); QB House; Ramen Hitoyoshi; Rubi Shoes; Saizeriya Italian Restaurant; Saute-san; Scanteak; Sealy Sleep Boutique; Shi Li Fang; Shihlin Taiwan Street Snacks; Simply Toys; Singapore Post; SingHEAR Tinnitus and Hearing Specialists; SingTel; Skechers; SkinGO!; SLEEPNIGHT; Slumberland; Smart Impex International &amp; Money Changer; Smiggle; Sohyang Laporis; Spectacle Hut; Star Arts; Starbucks; STEP Education; Stepping Out Studios; Streats Café; Stuff&#039;d; Subway; Super Dario Lasagne Café; TAMJAI SAMGOR MIXIAN; Tang Shan TCM &amp; Massage; Telestation GO Wireless; The Aroma Hub; The Body Shop; The Cake Shop; The Coffee Bean &amp; Tea Leaf; The Flip Flop Shop; The Green Party; The Logic Coders; The Music Lab; The Spa-Lon; The Whale Tea; Timezone; Toast Box; Tokyo Shokudo; Toys&quot;R&quot;Us; Tree Art; TYPO; UFC GYM; Uniqlo; UOB; UOB Auto Lobby; VALU$; Vanessa Beauty &amp; Henna Artwork Creations; Venus Beauty; Wan Yang Health Product &amp; Foot Reflexology Centre; Watami Japanese Dining; Watsons; Wine Connection; Wingstop; WOK HEY; Wok Master; Ya Kun Kaya Toast; #01-32/33	; #08-01	; #03-03/09	; #02-K4/K10	; #03-29/30	; #B2-39	; #04-14/16	; #B2-42/43	; #B2-K1/K14/K19	; #02-34	; #B2-50	; #B1-21	; #02-35/36	; #B1-31/32	; #07-06	; #B1-K16	; #01-41	; #08-06	; #01-13	; #B3-01	; #02-50	; #B2-45	; #01-24/25	; #B1-11A/12	; #01-34/35	; #B1-K2/K3	; #01-30/31/K1/K2	; #07-10	; #B1-K7	; #02-26	; #01-06/09	; #B2-21/23	; #B2-K2/K4/K11	; #03-28	; #02-17	; #02-20	; #02-11	; #04-05/10	; #02-03	; #03-37/38	; #01-10/11	; #B2-05/18	; #B1-11	; #B1-K12	; #03-35/36	; #B2-K5/K6/K20	; #03-14	; #07-11	; #B1-16	; #04-01/04	; #02-27/28	; #04-31/32	; #03-17	; #B1-06	; #02-29	; #B1-20	; #B1-26	; #02-37/38	; #01-27	; #04-23	; #B1-K4	; #03-41	; #05-01/03	; #08-11	; #B1-18/19	; #05-05	; #B2-01/02	; #06-01	; #B1-K10	; #B1-28	; #B1-12A	; #B2-44	; #B2-41	; #07-07/08	; #02-15	; #07-09	; #01-05	; #01-22/23	; #03-15/16	; #B1-29/30	; #02-19A	; #04-30	; #B2-49	; #01-04	; #B1-K6	; #B1-23	; #04-19/21	; #06-09	; #03-39/40	; #03-27	; #B2-19/20	; #01-14/16	; #02-K11/K13	; #03-45	; #B1-K8	; #B1-04	; #B1-03/05	; #07-01/05	; #B2-26	; #B2-04	; #B2-K9	; #B1-35	; #B2-03	; #02-23/24	; #02-25	; #B2-K21	; #01-40	; #B1-09/10	; #02-01/02	; #B1-K5	; #B1-K11/K13	; #02-14	; #02-21/22	; #09-11	; #B2-46	; #03-46/47	; #01-19/21	; #01-47	; #B2-K8	; #B1-K9	; #B1-13/15	; #B2-27	; #03-21/22	; #01-28/29	; #B2-55/56	; #03-23/24	; #03-42/44	; #03-33/34	; #02-53/54	; #B1-27	; #04-22	; #B2-33	; #B2-30	; #B1-22	; #01-36/37	; #B2-31	; #03-32	; #03-31	; #B2-40	; #01-39	; #B2-35/36	; #B1-08	; #B2-K24	; #01-38	; #08-10	; #08-02/05	; #01-01/03	; #B1-K1	; #B1-07	; #04-17	; #B2-53/54	; #B2-32	; #01-17	; #B1-K14	; #01-26	; #B2-K22	; #02-K14	; #02-12/13	; #B2-51/52	; #06-05	; #06-07	; #03-01/02	; #B2-K7	; #04-24/29	; #01-42/43	; #02-39/40	; #04-33/36	; #04-18	; #01-12	; #06-02/04	; #02-41/49	; #B2-47/48	; #B1-17	; #B2-37/38	; #B2-28	; #B2-34	; #03-53/55	; #02-31/33	; #B1-12B	; #B1-33/34	; #B1-36	; #02-51/52	; #B2-K12/K23	,https://www.citysquaremall.com.sg/shops/all-shops/,2009,450000,https://www.citysquaremall.com.sg/about-us/the-mall/about-the-mall/,,,https://en.wikipedia.org//wiki/City_Square_Mall_(Singapore)
CityLink Mall,1.2913,103.8552,2,https://citylink.com.sg/directory/,70,53,7-Eleven; Beauty 21; bikeactually; bluPort; bYSI; CHARLES & KEITH; Coo.Seoul+; DMK; DollHouse nails; Dreamlash; Duke Bakery; Fayth; Flash Coffee; Fun ToAst; Guardian Health & Beauty; HairArt Studio; Her Velvet Vase; Holland & Barrett; IMC Dental; IMC Medical; iORA; Kaffee & Toast and Saap Saap Thai; Kitty Mobile; KookooNut; Kowayo by eMediSpa; Lenskart; MAGIC TOUCH; Mixshop; Montip; Nano Partea; OKZ; Paik’s Bibim & Paik’s Coffee; Palola; PERFECT FIT; POP Station; prettyFIT; Pulse TCM Clinic; Reward Laundry; SERIES; smiggle; STARBUCKS COFFEE; Suparakki Ramen; Tap Craft Beer Bar; The DENTAL PEARL; The Featured Store; The Medical Practice; The Ogee Clinic; The Stage Walk; TimHoWan; UFC Gym; Yellow Cab Pizza; Yishu; Yomie Rice Yogurt; #B1-38; #B1-09; #B1-24A; #B1-K8; #B1-18-20; #B1-32-34; #B1-41; #B1-59; #B1-08; #B1-09A; #B1-61; #B1-57; #B1-10; #B1-04; #B1-67; #B1-11; #B1-55; #B1-51; #B1-03-05; #B1-03-05; #B1-26-26B; #B1-40; #B1-33A; #B1-42; #01-03B; #B1-42A; #B1-23; #B1-45; #B1-31; #B1-66; #B1-37; #B1-19; #B1-33; #B1-10A; #B1-K6; #B1-44-46; #B1-07; #B1-06; #B1-53; #B1-48; #B1-15-17; #B1-65; #01-02-02B; #01--03; #B1-24B; #01-03A; #B1-12-14; #B1-36A; #B1-63-63A; #B1-47-47C; #B1-01-02; #B1-22; #B1-07A ,https://citylink.com.sg/directory/,2000,67758,https://www.hkland.com/en/properties/singapore/one-raffles-link,,,https://en.wikipedia.org//wiki/CityLink_Mall
Clarke Quay Central,1.2890,103.8466,6,https://www.fareastmalls.com.sg/en/clarke-quay-central/shops,86,95,"(D&C) DESIGN & COMFORT; Fashion & Accessories; 02-58; 1ST EYE CARE; Jewellery / Watches / Optical; 02-60; 3DSENSE MEDIA SCHOOL; Education & Enrichment; 03-01; ADVENTURE 21; Sports & Fitness; 03-56; ASTONS SPECIALITIES; Food & Beverage, Restaurants; 03-85; AVONE BEAUTY SECRETS; Hair / Beauty / Wellness; 03-42; AZABU SABO HOKKAIDO ICE-CREAM SHOP; Food & Beverage, Cafes & Desserts; 01-46; BARCOOK BAKERY; Food & Beverage, Bakery & Confectionery; 01-67; BEARD PAPA'S; Food & Beverage, Light Bites & Food Kiosks; 01-32; BEAUTE HUB; Hair / Beauty / Wellness; 03-48; BOOST JUICE BARS; Food & Beverage, Light Bites & Food Kiosks; B1-K5; BURGER KING; Food & Beverage, Fast Food; 01-23; BURGER+; Food & Beverage, Restaurants; 01-07; BYSI; Fashion & Accessories; 01-28; CASE LOGIC; Electrical & Electronics; 02-69; CASH STUDIO; Services & Others; 03-21; CAT & THE FIDDLE; Food & Beverage, Bakery & Confectionery; 01-41; CATCHAPON; Books / Gifts & Novelties; B1-10; CESAR'S; Food & Beverage, Restaurants; 04-89D; CHARLES & KEITH; Fashion & Accessories; 01-51; CHEERS; Convenience Store; 01-05; CHICHA SAN CHEN; Food & Beverage, Light Bites & Food Kiosks; B1-K9; CRAFTSMEN SPECIALTY COFFEE; Food & Beverage, Cafes & Desserts; 01-58; CYL SCALP LAB SOLUTIONS; Hair / Beauty / Wellness; 03-70; DON DON DONKI; Supermarket; B1-11; DONKI FOOD HALL; Food Hall; B1-31; E!GHT KOREAN BBQ; Food & Beverage, Restaurants; 02-90; EVOLVE MMA; Sports & Fitness; 04-18; FRANK ZUO STUDIO; Hair / Beauty / Wellness; 03-65; FRESHE BEAUTE; Hair / Beauty / Wellness; 03-74; GANGNAM CORNDOG; Food & Beverage, Light Bites & Food Kiosks; 01-47; GIORDANO; Fashion & Accessories; 01-40; GLOW COUTURE; Hair / Beauty / Wellness; 03-75; GRACE NAIL; Hair / Beauty / Wellness; 04-92; HANAMI BARBER; Hair / Beauty / Wellness; 03-76; HUSH PUPPIES; Fashion & Accessories; 01-22; INTO BEAUTY; Hair / Beauty / Wellness; 03-68; ISLAND SHOP; Fashion & Accessories; 01-35; JJ.COM FISHMART; Food & Beverage, Restaurants; 01-68; KAI KAI GIFTS; Books / Gifts & Novelties; 02-56; KEW ORGANICS; Hair / Beauty / Wellness; 03-83; KIMIYO-G BEAUTY; Hair / Beauty / Wellness; 03-69; KOJIMAYA; Hair / Beauty / Wellness; B1-03; KRAFTWICH BY SWISSBAKE; Food & Beverage, Bakery & Confectionery; 01-53; KUBLAI KHAN MONGOLIAN INTERNATIONAL BBQ RESTAURANT; Food & Beverage, Restaurants; 02-01; KUNST GALLERY; Jewellery / Watches / Optical; 01-42; L'ATELIER TIRAMISU; Food & Beverage, Cafes & Desserts; B1-09; L'ZZIE; Fashion & Accessories; 01-39; LA LOLA CHURRERIA; Food & Beverage, Cafes & Desserts; 01-27; LASH REGROWTH; Hair / Beauty / Wellness; 04-66; LIHO TEA @ CAFE; Food & Beverage, Light Bites & Food Kiosks; 01-37; LU DING JI; Food & Beverage, Restaurants; B1-K7; LUMINE; Fashion & Accessories; 02-20; M BEAUTY; Hair / Beauty / Wellness; B1-07; MAN MAN JAPANESE UNAGI RESTAURANT; Food & Beverage, Restaurants; B1-52; MARUTAMA RAMEN; Food & Beverage, Restaurants; 03-90; MISS EMPIRE; Fashion & Accessories; 01-44; MITSUBA JAPANESE RESTAURANT; Food & Beverage, Restaurants; 03-88; MONEY CHANGER; Services & Others; 01-73; MOTHER & CHILD WELLNESS; Hair / Beauty / Wellness; 04-73; MUSIC LIFESTYLE ACADEMY; Education & Enrichment; 03-30; NANYANG INSTITUTE OF MANAGEMENT; Education & Enrichment; 04-01; NATIONAL VOLUNTEER & PHILANTHROPY CENTRE (THE GIVING PLACE); Services & Others; 04-88; NOMVNOM BISTRO; Food & Beverage, Restaurants; 03-105; OFFICE MATE STATIONERY; Books / Gifts & Novelties; 02-70; OLD SENG CHOONG; Food & Beverage, Bakery & Confectionery; 01-48; ORCHID BALLROOM; Restaurants, Food & Beverage; 04-85; POTATO CORNER; Food & Beverage, Light Bites & Food Kiosks; B1-K6; PRESTIQUE STUDIO; Sports & Fitness; 03-53; QI FANG CHINESE PHYSICIAN & ACUPUNCTURE CENTRE; Hair / Beauty / Wellness; B1-05; QUEEN GINYA; Hair / Beauty / Wellness; 04-75; REGINA; Hair / Beauty / Wellness; 04-68; RENDEZVOUS RESTAURANT HOCK LOCK KEE; Food & Beverage, Restaurants; 02-72; ROYAL PALM; Food & Beverage, Restaurants; 04-89; SANTOUKA; Food & Beverage, Restaurants; 02-76; SCENTIMENTS; Hair / Beauty / Wellness; 01-60; SKYROOM; Fashion & Accessories; 01-49; SPECTRUM STORE; Books / Gifts & Novelties; 01-43; SQUE ROTISSERIE & ALEHOUSE; Food & Beverage, Restaurants; 01-70; STARBUCKS; Food & Beverage, Cafes & Desserts; 01-29; SUBWAY; Food & Beverage, Fast Food; 01-66; SUN TANNING STUDIO; Hair / Beauty / Wellness; 03-11; TENDON KOHAKU; Food & Beverage, Restaurants; B1-53; THE HENG'S JEWELLERY; Jewellery / Watches / Optical; 01-64; THE JOY OF TOYS; Education & Enrichment; 03-51; THE SOUP SPOON AND THE SALAD FORK; Food & Beverage, Light Bites & Food Kiosks; B1-K1; THE TIPSY COW; Food & Beverage, Restaurants; 01-15; THREES BEAUTY SALON; Hair / Beauty / Wellness; 04-89a; TOOTH ANGELS & CO. DENTAL SURGEONS; Hair / Beauty / Wellness; B1-02; TSUJIRI; Food & Beverage; 01-74; TUNGLOK SIGNATURES; Food & Beverage, Restaurants; 02-88; TWEELINGS NAIL STUDIO; Hair / Beauty / Wellness; 03-81; UCCI; Fashion & Accessories; 01-34; UPIN HOT POT; Food & Beverage, Restaurants; 03-87; YA KUN FAMILY CAFE; Food & Beverage, Light Bites & Food Kiosks; 01-31",https://singmalls.app/en/malls/clarke-quay-central/directory,2007,201546,https://www.fareastmalls.com.sg/en/clarke-quay-central/lease-with-us,Far East Malls,,
Clementi Mall,1.3147,103.7643,6,https://www.theclementimall.com/stores,156,0.3333333333,,https://singmalls.app/en/malls/the-clementi-mall/directory,2011,192460,https://sphreit.listedcompany.com/misc/ar2014/38_portfolio_overview.pdf,,,https://en.wikipedia.org//wiki/Clementi_Mall
Compass One,1.3920,103.8951,5,https://compassone.sg/stores/page/21/,203,,,https://compassone.sg/stores/page/21/,2002,272881,https://www.edgeprop.sg/property-news/mg-real-estate-unveils-revamped-compass-one,,,https://en.wikipedia.org//wiki/Compass_One
Djitsun Mall,1.3729,103.8477,,,,,,,,,,,,
Djitsun Mall Bedok,1.3261,103.9296,4,http://www.oegroup.com.sg/news_djitsunmall.html,,,,,,48000,https://links.sgx.com/FileOpen/FCT_AnnualReport_2018.ashx?App=Announcement&FileID=538175,,,
DUO,1.2995,103.8584,,,,,,,,,,,,https://en.wikipedia.org//wiki/DUO
East Village,1.3318,103.9462,,,,0.3333333333,,https://singmalls.app/en/malls/east-village/directory,,,,,,
Eastpoint Mall,1.3427,103.9531,7,https://www.eastpoint.sg/store.php?CategoryID=594,131,0.3333333333,,https://singmalls.app/en/malls/east-point-mall/directory,1996,207806,https://www.gorillaspace.sg/singapore/office-building/eastpoint-mall,,,"https://en.wikipedia.org//wiki/Eastpoint_Mall,_Singapore"
Elias Mall,1.3786,103.9420,2,"https://www.propertyguru.com.sg/project/elias-mall-19385#:~:text=How%20many%20floors%20are%20there,Elias%20Mall%20has%202%20floors.",47,,,https://www.streetdirectory.com/asia_travel/travel/travel_id_2435/travel_site_82206/overview/,1995,70000,https://fct.frasersproperty.com/newsroom/20140512_175650_J69U_EQ6ASZLFT5NIS5LM.3.pdf,HDB,,
FairPrice Hub,1.3271,103.6784,3,https://thenewageparents.com/joo-koon-ntuc-wholesale-warehouse/,28,,,https://thenewageparents.com/joo-koon-ntuc-wholesale-warehouse/,2015,130000,https://www.straitstimes.com/singapore/expect-lower-prices-at-jurongs-fairprice-hub,,,
Fajar Shopping Centre,1.3839,103.7707,2,https://www.iproperty.com.sg/building/%E2%80%8C%E2%80%8C%E2%80%8Cbukit-panjang-fajar-road-blk-445%E2%80%8C%E2%80%8C%E2%80%8C/fajar-shopping-centre-883ac6942a5c/,34,,,http://www.bukitpanjang.com/fajar-shopping-centre.html,1996,49513,http://www.bukitpanjang.com/fajar-shopping-centre.html,HDB,,
Far East Plaza,1.3072,103.8336,5,http://fareastplaza.com.sg/directory.php?dir=5,549,0.3333333333,,https://singmalls.app/en/malls/far-east-plaza/directory,1982,292160,https://www.commercialguru.com.sg/find-commercial-properties/property-for-sale/at-far-east-plaza-19426,,,https://en.wikipedia.org//wiki/Far_East_Plaza
Funan,1.2913,103.8501,6,https://map.capitaland.com/funan/wayfind.jsp?id=t-yakunkayatoast-funan1640709664,199,20,"5 SENSES BISTRO; Food & Beverage; 02-17; 7 ELEVEN; Convenience Store; B2-29, 01; A Gan Guo Kui; Food & Beverage; B2-K05; ABC Cooking Studio; Hobbies & Leisure; 02-29; Afuri; Food & Beverage; B1-29; Ajumma's; Food & Beverage; B1-31; Alan Photo; Electronics & Technology; 03-29; Amore store x Lazada; Beauty & Wellness; 02-13; ANASTASIABYRAINE; Fashion; 02-K09; Atlas Experience; Electronics & Technology; 03-K02; Audio-Technica; Electronics & Technology; 03-K10; Authorised Mi Store; Electronics & Technology; 03-08; BaWangChaJi; Food & Beverage; 02-K07; Beijing 101; Beauty & Wellness; B1-18; Benjamin Barker; Fashion; 02-26 to 02-27; BERNINA; Hobbies & Leisure, Electronics & Technology; 03-K03; Yan Ji Gourmet Seafood Soup; Food & Beverage; 02-05; Yanmi Yogurt; Food & Beverage; 02-03; Yu Kee Specialities; Food & Beverage; B1-34; ZENZI; Fashion; 02-28",https://singmalls.app/en/malls/funan/directory,2019,324000,https://www.cushmanwakefield.com/-/media/cw/global/insights/global-cities-retail-guide/apac/singapore_retailguide.pdf?rev=c428387db8d2499a9cbcd1541452d68d,CapitaLand,,"https://en.wikipedia.org/wiki/Funan,_Singapore"
Galaxis,1.2999,103.7881,2,https://www.capitaland.com/international/en/find-a-property/global-property-listing/integrateddevelopment-urbandevelopment/galaxis.html,,,,,,44196,https://www.capitaland.com/international/en/about-capitaland/newsroom/news-releases/international/2020/mar/Ascendas-Reit-acquires-25-per-cent-stake-in-Galaxis.html,CapitaLand,,
Gek Poh Shopping Centre,1.3487,103.6977,,,,,,,,,,HDB,,https://en.wikipedia.org//wiki/Gek_Poh_Shopping_Centre
Golden Mile Complex,1.3028,103.8652,6,https://property.jll.com.sg/office-lease/singapore/beach-rd/golden-mile-complex-sgp-p-0006eb,411,,,https://en.wikipedia.org/wiki/Golden_Mile_Complex,1973,127961,https://property.jll.com.sg/office-lease/singapore/beach-rd/golden-mile-complex-sgp-p-0006eb,,,https://en.wikipedia.org/wiki/Golden_Mile_Complex
Grandstand Car Mall,1.3379,103.7935,1,http://thegrandstand.com.sg/car-mall/,150,,,http://thegrandstand.com.sg/car-mall/,2012,450000,https://www.cogentholdingsltd.com/our-business/the-grandstand/,,,
Grantral Mall,1.3142,103.7651,,,,,,,,,,,,
Great World City,1.2936,103.8319,6,https://shop.greatworld.com.sg/shops/,303,0.3333333333,,https://singmalls.app/en/malls/great-world-city/directory,1997,420000,https://greatworld.com.sg/,,,https://en.wikipedia.org//wiki/Great_World_City
Greenridge Shopping Centre,1.3854,103.7662,,,,,,,,,,HDB,,
